model,term,coef,odds_ratio,robust_se,z,p_value,or_ci_lo,or_ci_hi
qwen7b,Intercept,-0.12438283963975064,0.8830417127912525,0.19315080804669527,-0.6439674827023266,0.5195965202883213,0.6047389368535141,1.2894203085160214
qwen7b,socio_attr_intellect,0.12786413424856852,1.1363985945589334,0.24870509418320302,0.5141194822265291,0.6071684571820349,0.6979569527842036,1.850259905806539
qwen7b,socio_attr_civility,0.31438937629708336,1.3694228535489341,0.23602333254922725,1.332026681012613,0.18285142119726905,0.8622445434110885,2.174927015952153
qwen7b,socio_attr_power,0.6275806193586547,1.8730734153533062,0.24023101165564997,2.612404680950336,0.00899077597534403,1.1696772271441294,2.999463388604545
qwen7b,socio_attr_wealth,1.2993645751536387,3.6669658459573915,0.36510407646464066,3.5588881607008807,0.0003724280683679495,1.7927676255125624,7.500491599726172
qwen7b,lang_zh,0.12563304608267092,1.13386601535716,0.114218964486382,1.0999315800805547,0.2713619338713883,0.9064348471795066,1.4183613359331915
qwen7b,lang_ru,0.05566531375826118,1.057243779569301,0.1182440398541657,0.4707663390638129,0.6378076047654031,0.8385399918385154,1.3329887904180464
qwen7b,lang_ar,0.26748024800521386,1.3066678202852204,0.11640311331157824,2.2978788143685196,0.021568687388698254,1.0401138162991912,1.641532653266666
qwen7b,lang_hi,0.04172704225271359,1.0426098514705637,0.13579295047088738,0.30728430384653466,0.758626981851181,0.7989737872739525,1.3605393815138367
qwen7b,lang_bn,0.47271982287999226,1.6043518173285372,0.12376536083402645,3.819484059953783,0.00013373110077455393,1.2587758683268389,2.0447998873593436
qwen7b,lang_el,0.3983010648248468,1.4892923359555705,0.11928030852640978,3.3392021679476054,0.0008401939292277284,1.1788173146146659,1.8815397724803709
qwen7b,gender_male,-0.1351087903572357,0.8736208649920552,0.1793752545685445,-0.7532186682171743,0.45131852304776865,0.6146610573807939,1.2416817473384225
