model,domain,knob,error_rate,n,ci_lo,ci_hi
internvl8b,animal,count,0.716,497,0.675,0.754
internvl8b,animal,color_tone,0.545,483,0.5,0.588
internvl8b,animal,layout_relation,0.516,378,0.466,0.566
internvl8b,animal,spatial,0.534,371,0.483,0.584
internvl8b,animal,scale_size,0.717,371,0.669,0.76
internvl8b,object,count,0.546,581,0.505,0.586
internvl8b,object,color_tone,0.442,448,0.397,0.488
internvl8b,object,layout_relation,0.597,357,0.545,0.646
internvl8b,object,spatial,0.548,385,0.498,0.597
internvl8b,object,scale_size,0.653,329,0.601,0.703
qwen7b,animal,count,0.643,488,0.6,0.685
qwen7b,animal,color_tone,0.387,434,0.342,0.434
qwen7b,animal,layout_relation,0.474,378,0.424,0.524
qwen7b,animal,spatial,0.52,371,0.469,0.571
qwen7b,animal,scale_size,0.75,364,0.703,0.792
qwen7b,object,count,0.534,580,0.494,0.575
qwen7b,object,color_tone,0.342,447,0.3,0.387
qwen7b,object,layout_relation,0.607,356,0.555,0.656
qwen7b,object,spatial,0.494,385,0.444,0.543
qwen7b,object,scale_size,0.587,329,0.533,0.639
