model,domain,subcategory,error_rate,n,ci_lo,ci_hi
internvl8b,animal,bird,0.602,784,0.567,0.636
internvl8b,animal,mammal,0.482,679,0.444,0.519
internvl8b,animal,animal,0.752,637,0.717,0.784
internvl8b,object,vehicle,0.642,763,0.608,0.675
internvl8b,object,tableware,0.514,700,0.477,0.551
internvl8b,object,furniture,0.477,637,0.439,0.516
qwen7b,animal,bird,0.641,727,0.605,0.675
qwen7b,animal,mammal,0.393,679,0.357,0.43
qwen7b,animal,animal,0.626,629,0.588,0.663
qwen7b,object,vehicle,0.616,760,0.581,0.65
qwen7b,object,tableware,0.536,700,0.499,0.572
qwen7b,object,furniture,0.344,637,0.308,0.382
